company,title,description,start,end
Code Ninjas,Head Instructor,"Lead coding sessions for students ages 8 to 18 covering languages including Java, JavaScript, Python, and C++. Developed curriculum focused on core programming fundamentals, fostering a strong coding foundation. Collaborated with local schools to organize external coding workshops, promoting tech education.",May 2023,Present
Publix,Front End Coordinator,"Supervised front-end operations, overseeing task delegation and ensuring prompt resolution of customer concerns.; Handled financial reporting, monitored transaction accuracy, and resolved discrepancies in earnings reports for corporate.",January 2020,April 2023
Elevation Advertising,Intern,"Developed marketing strategies and programs for Steward School’s entrepreneurship program.; Acquired practical experience in designing and executing marketing campaigns, contributing to the program’s outreach efforts.",February 2019,May 2019
